5,Female,How do you identify?
5,Male,How do you identify?
6,Civil society,Which of the below listed sectors do you represent?
6,Parliament,Which of the below listed sectors do you represent?
6,Government,Which of the below listed sectors do you represent?
6,Other,Which of the below listed sectors do you represent?
6,Academia,Which of the below listed sectors do you represent?
8,Unicameral,Is the above listed parliament unicameral or bicameral?
8,Other,Is the above listed parliament unicameral or bicameral?
8,Bicameral,Is the above listed parliament unicameral or bicameral?
10,Yes,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
10,Other,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
10,No,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
12,Yes,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
12,Other,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
12,No,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
13,Yes,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
13,Other,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
13,No,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
14,Yes,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
14,Other,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
14,No,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
17,Yes,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
17,Other,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
17,No,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
19,Yes,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
19,Other,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
19,No,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
