question_id,option,value,question
5,Female,,How do you identify?
5,Male,,How do you identify?
6,Civil society,,Which of the below listed sectors do you represent?
6,Parliament,,Which of the below listed sectors do you represent?
6,Government,,Which of the below listed sectors do you represent?
6,Other,,Which of the below listed sectors do you represent?
6,Academia,,Which of the below listed sectors do you represent?
8,Unicameral,,Is the above listed parliament unicameral or bicameral?
8,Other,,Is the above listed parliament unicameral or bicameral?
8,Bicameral,,Is the above listed parliament unicameral or bicameral?
10,Yes,1,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
10,Other,0,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
10,No,3,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
12,Yes,1,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
12,Other,0,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
12,No,3,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
13,Yes,1,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
13,Other,0,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
13,No,3,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
14,Yes,1,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
14,Other,0,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
14,No,3,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
17,Yes,1,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
17,Other,0,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
17,No,3,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
19,Yes,1,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
19,Other,0,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
19,No,3,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
20,Yes,1,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
20,Other,0,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
20,No,3,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
22,Yes,3,Does the parliament officially require payment in exchange for access to certain parliamentary information?
22,Other,0,Does the parliament officially require payment in exchange for access to certain parliamentary information?
22,No,1,Does the parliament officially require payment in exchange for access to certain parliamentary information?
24,Yes,1,"Does the parliament have a public website? If yes, please provide a link."
24,Other,0,"Does the parliament have a public website? If yes, please provide a link."
25,Less than monthly,3,How frequently does the parliament update its website?
25,Close to real-time,1,How frequently does the parliament update its website?
25,Monthly,3,How frequently does the parliament update its website?
25,Daily,1,How frequently does the parliament update its website?
25,Weekly,2,How frequently does the parliament update its website?
25,Other,0,How frequently does the parliament update its website?
25,Multiple times daily ,1,How frequently does the parliament update its website?
26,Yes,1,"In general, does the parliamentary website use stable URLs?"
