: http://main.knesset.gov.il/News/Broadcast/Pages/CommitteeBroadcastArchive.aspx,: http://main.knesset.gov.il/News/Broadcast/Pages/CommitteeBroadcastArchive.aspx
: http://main.knesset.gov.il/News/Broadcast/Pages/default.aspx,: http://main.knesset.gov.il/News/Broadcast/Pages/default.aspx
: http://www.knesset.gov.il/vote/heb/vote_search.asp,: http://www.knesset.gov.il/vote/heb/vote_search.asp
1 - 2 weeks,1 - 2 weeks
1 - 3 days,1 - 3 days
1 - 3 years,1 - 3 years
1-2 weeks,1-2 weeks
1-3 days,1-3 days
10 or more years,10 or more years
4 - 6 days,4 - 6 days
4 - 6 years,4 - 6 years
4-6 days,4-6 days
5th Law,5th Law
5th Law 1992,5th Law 1992
7 - 9 years,7 - 9 years
Access to this list must be requested to the 1st Secretary of the Governing Board. The request may take some time to be fulfilled.,Access to this list must be requested to the 1st Secretary of the Governing Board. The request may take some time to be fulfilled.
Accessibility,Accessibility
"According to Article 10 of the Law on Lobbying, the Secretary General of the Assembly of the Republic of Macedonia keeps a Registry of Lobbyists, and the Registry is available to the public.","According to Article 10 of the Law on Lobbying, the Secretary General of the Assembly of the Republic of Macedonia keeps a Registry of Lobbyists, and the Registry is available to the public."
"According to Article 21 of the Law on Prevention of Corruption, MPs are not allowed to be members of the management board in a privately owned company. According to Article 8 of the Electoral Code and Article 21 of the Law on Prevention of Corruption, MPs are not allowed to be members of the management board in a publicly owned company.","According to Article 21 of the Law on Prevention of Corruption, MPs are not allowed to be members of the management board in a privately owned company. According to Article 8 of the Electoral Code and Article 21 of the Law on Prevention of Corruption, MPs are not allowed to be members of the management board in a publicly owned company."
"According to law, a report on the Knesset expenditures is submitted to a joined committee headed by the Knesset Speaker. The protocol of the committee is on the internet. See example from 2013 -   http://www.knesset.gov.il/protocols/data/rtf/knesset/2014-07-28.rtf","According to law, a report on the Knesset expenditures is submitted to a joined committee headed by the Knesset Speaker. The protocol of the committee is on the internet. See example from 2013 -   http://www.knesset.gov.il/protocols/data/rtf/knesset/2014-07-28.rtf"
According to the Freedom of Information Law every citizen has the right to receive information from a public authority.,According to the Freedom of Information Law every citizen has the right to receive information from a public authority.
"According to the Law on Lobbying, registry lists of active lobbyists are public.","According to the Law on Lobbying, registry lists of active lobbyists are public."
"According to the Law on prevention of conflict of interests, public official including MPs may not be the president or member of a management body nor supervisory body,  executive director, member of management of the public company, public institution or other legal entity.","According to the Law on prevention of conflict of interests, public official including MPs may not be the president or member of a management body nor supervisory body,  executive director, member of management of the public company, public institution or other legal entity."
Acuerdo Legislativo 28-2014 - 2015 aproved budget http://old.congreso.gob.gt/Legislacion/Ver_acuerdo.asp?id=18394,Acuerdo Legislativo 28-2014 - 2015 aproved budget http://old.congreso.gob.gt/Legislacion/Ver_acuerdo.asp?id=18394
Administration,Administration
"Administration, Citizen Participation","Administration, Citizen Participation"
"Administration, Ethics","Administration, Ethics"
"All members of the Congress has a public proflie with their information contact. However, all email accounts are unavailable and other complementary information such as office adress and phone number are outdated.","All members of the Congress has a public proflie with their information contact. However, all email accounts are unavailable and other complementary information such as office adress and phone number are outdated."
All voting records with individual names and vote taken are publicly available and linked to the piece of legislation and/or amendment in question.,All voting records with individual names and vote taken are publicly available and linked to the piece of legislation and/or amendment in question.
Annual budget is avaliable on the web site before discussing it and upon adoption,Annual budget is avaliable on the web site before discussing it and upon adoption
anti corruption agency,anti corruption agency
API,API
Are committee attendance records available?,Are committee attendance records available?
Are committee meeting agendas available to the public?,Are committee meeting agendas available to the public?
Are committee meeting agendas available?,Are committee meeting agendas available?
Are committee reports available to the public?,Are committee reports available to the public?
Are committee reports available?,Are committee reports available?
Are committee resolutions available?,Are committee resolutions available?
Are committee rules available?,Are committee rules available?
Are committee schedules available?,Are committee schedules available?
Are committee voting records available to the public?,Are committee voting records available to the public?
Are committee voting records available?,Are committee voting records available?
Are complete versions of committee resolutions available to the public?,Are complete versions of committee resolutions available to the public?
Are parliamentary documents translated?,Are parliamentary documents translated?
Are parliamentary reports available?,Are parliamentary reports available?
Are plenary attendance records available?,Are plenary attendance records available?
Are plenary roll call voting records available to the public?,Are plenary roll call voting records available to the public?
Are roll call voting records available?,Are roll call voting records available?
Are the parliament's rules of procedure available?,Are the parliament's rules of procedure available?
Are the results of parliamentary investigations available?,Are the results of parliamentary investigations available?
"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link.","Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
Are verbatim committee transcripts available to the public?,Are verbatim committee transcripts available to the public?
Are verbatim committee transcripts available?,Are verbatim committee transcripts available?
Are verbatim plenary transcripts available to the public?,Are verbatim plenary transcripts available to the public?
Are verbatim plenary transcripts available?,Are verbatim plenary transcripts available?
Are voting records searchable?,Are voting records searchable?
Argentina,Argentina
As part of information provided by committees,As part of information provided by committees
As soon as the agenda is established.,As soon as the agenda is established.
As soon as they are established,As soon as they are established
As soon as they are established.,As soon as they are established.
As well as rules of proceeding doc. in general.,As well as rules of proceeding doc. in general.
"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?","Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
"Assessed and paid by an independent body, IPSA","Assessed and paid by an independent body, IPSA"
At Parliament house,At Parliament house
At present broadcasting facilities are limited meaning that it is not possible to provide a broadcast quality feed of all committees simultaneously,At present broadcasting facilities are limited meaning that it is not possible to provide a broadcast quality feed of all committees simultaneously
Available by request at the Parliament House,Available by request at the Parliament House
Available from TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp),Available from TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp)
"Available from TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp) See also Erskine May's Treatise on the Law, Privileges, Proceedings and Usage of Parliament. Edited by Sir Malcolm Jack. Twenty-fourth edition. 2011. Butterworths LexisNexis. ISBN 9781405751063.","Available from TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp) See also Erskine May's Treatise on the Law, Privileges, Proceedings and Usage of Parliament. Edited by Sir Malcolm Jack. Twenty-fourth edition. 2011. Butterworths LexisNexis. ISBN 9781405751063."
Available in Hansard as part of verbatim transcripts (see q50) for example http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm140926/debtext/140926-0003.htm#14092616000857,Available in Hansard as part of verbatim transcripts (see q50) for example http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm140926/debtext/140926-0003.htm#14092616000857
available not for all committees,available not for all committees
Available on the page of each bill,Available on the page of each bill
available on the website of the ministry of finance,available on the website of the ministry of finance
"Basically, the order of business is uploaded more than to weeks before the plenary session, however, the voting schedule and the detailed agenda can be altered 4-6 days before (and even on the day of) the plenary session as well. ","Basically, the order of business is uploaded more than to weeks before the plenary session, however, the voting schedule and the detailed agenda can be altered 4-6 days before (and even on the day of) the plenary session as well. "
Bosnia and Herzegovina,Bosnia and Herzegovina
Brazil,Brazil
Bulk download,Bulk download
but in the assets declarations available on the website of the Conflict of Interst Resolution Commission,but in the assets declarations available on the website of the Conflict of Interst Resolution Commission
"but on the website of the Conflict of Interest Resolution Commission responsible for such investigations, there are no parliamentary investigations for these issues provided ","but on the website of the Conflict of Interest Resolution Commission responsible for such investigations, there are no parliamentary investigations for these issues provided "
"but only for one month after it is published, in non printable form. ""Pothen Esches"" record.","but only for one month after it is published, in non printable form. ""Pothen Esches"" record."
but summarized versions; http://www.sabor.hr/Default.aspx?sec=4613,but summarized versions; http://www.sabor.hr/Default.aspx?sec=4613
"but this information is available not the parliamentary website, but on the website of the Conflict of Intrest Resoulution Commission responsible for MPs assests declaring datebase ","but this information is available not the parliamentary website, but on the website of the Conflict of Intrest Resoulution Commission responsible for MPs assests declaring datebase "
by  submitting information request,by  submitting information request
By making a written request to the Legislative Management Office,By making a written request to the Legislative Management Office
By making a written request to the Legislative Management Office.,By making a written request to the Legislative Management Office.
Can a member of the public observe or listen to parliamentary plenary sessions?,Can a member of the public observe or listen to parliamentary plenary sessions?
can be access via queries,can be access via queries
Can the public observe committee meetings?,Can the public observe committee meetings?
"Can't be found on the parliaments web site. The ministry of finance publishes the annual government budget, that has some details to the parliament budget, but it is not easy to find.","Can't be found on the parliaments web site. The ministry of finance publishes the annual government budget, that has some details to the parliament budget, but it is not easy to find."
category,category
CC BY-NC Atribution-Noncomercial,CC BY-NC Atribution-Noncomercial
Changes to bills?,Changes to bills?
Chile,Chile
Citizens can file a public data request in order to get a transparent view of expenditures (transparency and the lack of detailed explanations are the bottleneck of the problem),Citizens can file a public data request in order to get a transparent view of expenditures (transparency and the lack of detailed explanations are the bottleneck of the problem)
Close to real-time,Close to real-time
Colombia,Colombia
Committee activity?,Committee activity?
Committee agendas,Committee agendas
Committee information,Committee information
Committee meetings are by default not public in Finland unfortunately...,Committee meetings are by default not public in Finland unfortunately...
committee meetings are generally open to the public,committee meetings are generally open to the public
Committee meetings are not generally open to the public,Committee meetings are not generally open to the public
"Committee meetings are open to the media and to the persons invited by the committee, as specified in the Rules of Procedure. ","Committee meetings are open to the media and to the persons invited by the committee, as specified in the Rules of Procedure. "
Committee membership,Committee membership
committee rules are described in internal rules of the parliament as a whole.,committee rules are described in internal rules of the parliament as a whole.
Committee schedule is online  available just a few days before the meeting,Committee schedule is online  available just a few days before the meeting
committee shedule is available one week in advance on http://www.sobranie.mk/pocetna.nspx,committee shedule is available one week in advance on http://www.sobranie.mk/pocetna.nspx
Committee transcripts ,Committee transcripts 
Committee voting records,Committee voting records
Committees,Committees
Committees do not have their own rules.,Committees do not have their own rules.
Committees have annual plans of work that also include quarterly schedules.,Committees have annual plans of work that also include quarterly schedules.
"Committees, Citizen Participation","Committees, Citizen Participation"
Contextual information or reports,Contextual information or reports
Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0),Creative Commons Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)
Croatia,Croatia
Current week Schedule http://www.oireachtas.ie/documents/thisweek/AppSchedule.asp Order Papers http://www.oireachtas.ie/ViewDoc.asp?fn=/documents/op/default.asp&CatID=4&m=d,Current week Schedule http://www.oireachtas.ie/documents/thisweek/AppSchedule.asp Order Papers http://www.oireachtas.ie/ViewDoc.asp?fn=/documents/op/default.asp&CatID=4&m=d
Daily,Daily
