id,weight,category_code,question
0,,,country code
1,,,Name
2,,,Country
3,,,Organization
4,,,Title
5,,,How do you identify?
6,,,Which of the below listed sectors do you represent?
7,,,For which country's national-level parliament are you submitting information?
8,,,Is the above listed parliament unicameral or bicameral?
9,,,For which chamber of the parliament are you submitting information?
10,,,"If the country in question is a member of the Open Government Partnership, has the national action plan included commitments that relate to the legislative process?"
11,,,"If the country's national action plan has included commitments that relate to the legislative process, please describe those commitments."
12,,,"If the country in question is a member of the Open Government Partnership, has civil society advocated for the inclusion of parliamentary openness commitments during the consultation process?"
13,,,"If the country in question is a member of the Open Government Partnership, does the parliament play a role in overseeing the implementation of the OGP national action plan?"
14,,,"Either independently or as part of OGP, has the parliament taken any significant steps towards creating their own plan on parliamentary openness?"
15,,,"If the parliament has taken any significant steps towards creating their own plan on parliamentary openness, please describe this process. Please also include links, if available."
16,,,Please describe any other ways in which the parliament has been involved in the OGP process or intends to be involved in the process in the future.
17,,accessibility,"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?"
18,,accessibility,Please provide citations or links to relevant policies or guidelines and briefly describe the role that these policies play in ensuring that parliamentary information is open and accessible to the public.
19,,accessibility,"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link."
20,,accessibility,"In general, is parliamentary information openly licensed to allow for free reuse and redistribution?"
21,,accessibility,"Please describe how parliamentary information is licensed, including specific references to legal documents or guidelines. Please provide links, if available."
22,,accessibility,Does the parliament officially require payment in exchange for access to certain parliamentary information?
23,,accessibility,"Please describe what information the parliament charges for, including details regarding which parliamentary information is not free and how much is charged for the information. Please provide links to relevant policies, if available."
24,,accessibility,"Does the parliament have a public website? If yes, please provide a link."
25,,accessibility,How frequently does the parliament update its website?
26,,accessibility,"In general, does the parliamentary website use stable URLs?"
27,,accessibility,How can an individual search for information on the parliament's website?
28,,accessibility,"To provide context to legislative information, does the parliament link information to other relevant datasets or information?"
29,,accessibility,"Please describe how information on the parliament's website is linked to other relevant data or information. Please provide links to relevant examples, if available.  "
30,,accessibility,"Does the parliament maintain offices outside the capital where citizens can access accurate, up-to-date parliamentary information?"
31,,accessibility,Are there multiple working or national languages recognized in the country?
32,,accessibility,"In instances where there are multiple working or national languages, does the parliament provide simultaneous interpretation of parliamentary proceedings? Please check all that apply."
33,,accessibility,"In instances where there are multiple working or national languages, does the parliament generally make documents available in all working languages?"
34,,accessibility,What types of parliamentary information does the parliament make available in all official languages?
35,,accessibility,Does the parliament regularly provide plain language summaries of any of the below types of information to help explain complex texts to citizens?
36,,accessibility,Please describe any best or innovative practices employed by the parliament to ensure that parliamentary information is accessible in additional languages and plain language. Please provide links where relevant.
37,,ethics,"Does the parliamentary website have a publicly available privacy policy that allows website users to know what personal information is being collected and how that information is being used? If yes, please provide a link."
38,,accessibility,"Does parliament offer publicly available alert services to proactively inform citizens about parliamentary activities? If yes, what technologies are used?"
39,,plenary,"Plenary activity :If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
40,,committees,"Committee activity:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
41,,accessibility,"Introduction of bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
42,,accessibility,"Changes to bills:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
43,,accessibility,"Passage of legislation:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
44,,plenary,"Votes:If alert services are available, what types of parliamentary activities are covered by alert services and what technologies do these services use?"
